CustomerID,TOTAL_ORDERS,REVENUE,AVERAGE_ORDER_VALUE,CARRIAGE_REVENUE,AVERAGESHIPPING,FIRST_ORDER_DATE,LATEST_ORDER_DATE,AVGDAYSBETWEENORDERS,DAYSSINCELASTORDER,MONDAY_ORDERS,TUESDAY_ORDERS,WEDNESDAY_ORDERS,THURSDAY_ORDERS,FRIDAY_ORDERS,SATURDAY_ORDERS,SUNDAY_ORDERS,MONDAY_REVENUE,TUESDAY_REVENUE,WEDNESDAY_REVENUE,THURSDAY_REVENUE,FRIDAY_REVENUE,SATURDAY_REVENUE,SUNDAY_REVENUE,WEEK1_DAY01_DAY07_ORDERS,WEEK2_DAY08_DAY15_ORDERS,WEEK3_DAY16_DAY23_ORDERS,WEEK4_DAY24_DAY31_ORDERS,WEEK1_DAY01_DAY07_REVENUE,WEEK2_DAY08_DAY15_REVENUE,WEEK3_DAY16_DAY23_REVENUE,WEEK4_DAY24_DAY31_REVENUE,TIME_0000_0600_ORDERS,TIME_0601_1200_ORDERS,TIME_1200_1800_ORDERS,TIME_1801_2359_ORDERS,TIME_0000_0600_REVENUE,TIME_0601_1200_REVENUE,TIME_1200_1800_REVENUE,TIME_1801_2359_REVENUE,LOG_REVENUE,CUSTOMER_LIFETIME_VALUE,ORDER_FREQUENCY
1621,0.6412058322871953,0.6581892588292588,120.5,54.85,2.61,2021-04-05,2021-10-24,9.62,1,4,2,4,3,5,1,2,489.48,289.49,323.99,340.09,669.41,58.09,360.0,6,5,6,4,808.49,769.4,563.66,389.0,0,6,12,3,0.0,639.57,1508.89,382.09,7.836587042350603,1265.275,0.10344827586206896
1717,1.1144437522000044,0.6211552239748008,91.7,61.89,2.29,2016-06-28,2021-10-24,72.0,1,3,2,3,4,3,4,8,416.98,224.0,165.18,216.99,224.99,309.58,918.12,5,5,8,9,380.98,970.99,569.64,554.23,1,2,10,14,154.99,176.64,748.15,1396.06,7.814738833135801,1237.92,0.013881748071979434
1721,1.272189725504274,0.6167688129739438,85.15,98.81,3.41,2017-12-28,2021-10-24,48.14,1,5,2,6,4,4,4,4,379.18,204.98,500.35,416.37,305.08,286.98,376.42,5,5,5,14,499.98,328.16,391.18,1250.04,1,15,6,7,45.0,1246.95,459.95,717.46,7.812119167989525,1234.68,0.020758768790264854
1787,1.0355707655478694,0.5914860273440041,93.54,66.86,2.57,2016-10-12,2021-10-24,70.69,1,4,8,3,2,3,0,6,223.98,633.16,388.97,233.98,256.18,0.0,695.74,6,3,6,11,558.98,400.98,557.76,914.29,1,7,11,7,161.99,512.18,1319.68,438.16,7.796884452927151,1216.005,0.014138118542686243
1819,0.5623328456350605,0.5807366127307927,120.81,36.93,1.85,2021-06-05,2021-10-24,7.05,1,1,7,4,0,2,2,4,154.99,802.98,468.0,0.0,220.99,229.99,539.18,5,6,5,4,513.08,776.97,622.99,503.09,1,1,10,8,154.99,249.99,1192.08,819.07,7.790336164941818,1208.065,0.14084507042253522
1851,0.010221939070116669,0.5717877927568219,184.84,52.91,4.07,2021-01-08,2021-10-24,22.23,1,1,0,0,1,6,1,4,80.0,0.0,0.0,236.99,1243.96,265.0,576.96,3,7,0,3,643.97,1368.97,0.0,389.97,2,4,5,2,339.99,890.97,804.97,366.98,7.7848518573503,1201.455,0.04482758620689655
1873,0.4045868723307908,0.563617425352448,132.82,88.84,4.94,2019-04-03,2021-10-24,51.94,1,2,3,4,2,4,2,1,280.98,327.97,325.96,420.98,608.97,360.99,64.99,7,5,3,3,1052.95,781.95,204.97,350.97,0,2,5,11,0.0,207.98,494.95,1687.91,7.779818223201204,1195.42,0.019230769230769232
1885,0.8778247922435998,0.560930071699145,99.45,72.87,3.04,2020-09-08,2021-10-24,17.13,1,2,2,1,1,1,9,8,318.19,193.99,49.09,131.09,60.89,769.85,863.77,4,7,3,10,183.68,589.76,446.89,1166.54,9,6,2,7,783.14,925.17,242.99,435.57,7.778157034169673,1193.435,0.05825242718446602
2016,-0.30527000753842265,0.5207619191079638,258.61,9.98,1.11,2021-05-18,2021-10-24,17.67,1,2,2,0,0,0,0,5,940.5,774.59,0.0,0.0,0.0,0.0,612.44,0,1,3,5,0.0,453.6,923.34,950.59,1,0,3,5,453.6,0.0,923.34,950.59,7.752992446170229,1163.765,0.05625
2096,0.5623328456350605,0.4867875413096591,113.87,81.84,4.09,2019-09-07,2021-10-24,38.9,1,4,0,2,5,3,2,4,322.47,0.0,209.98,607.96,177.99,407.98,550.96,9,4,1,6,1081.43,596.96,39.99,558.96,0,2,6,12,0.0,126.49,609.96,1540.89,7.7312023866012405,1138.67,0.025673940949935817
2109,2.139792578677757,0.48465525818424243,56.85,153.54,3.84,2020-05-27,2021-10-24,12.88,1,1,8,4,4,10,8,5,43.49,429.92,252.96,100.82,488.94,716.09,241.97,12,5,16,7,660.91,243.45,1018.89,350.94,0,16,6,18,0.0,921.22,356.95,996.02,7.72981884438126,1137.095,0.07751937984496124
2194,0.9566977788957346,0.4574703406233756,89.36,89.84,3.59,2020-05-10,2021-10-24,21.28,1,5,5,3,3,1,1,7,403.8,578.96,271.89,296.12,155.99,72.99,454.28,5,8,7,5,370.08,723.4,613.39,527.16,1,5,8,11,72.99,525.95,927.75,707.34,7.712009929776376,1117.015,0.04690431519699812
2429,0.7200788189393301,0.396595349680926,97.46,50.9,2.31,2017-12-24,2021-10-24,63.64,1,0,3,3,4,4,5,3,0.0,188.18,309.64,474.19,360.17,445.98,365.94,4,9,4,5,398.18,754.95,368.63,622.34,3,6,11,2,264.98,618.38,1100.9,159.84,7.670941450322057,1072.05,0.015703069236259814
2483,0.010221939070116669,0.3841198011090442,163.51,44.92,3.46,2019-11-23,2021-10-24,53.92,1,0,2,1,0,1,4,5,0.0,231.99,189.99,0.0,73.99,1032.73,596.97,5,3,3,2,1274.47,307.48,337.73,205.99,1,3,9,0,151.0,396.48,1578.19,0.0,7.662312655067617,1062.835,0.018518518518518517
2493,0.9566977788957346,0.38074876302505223,84.83,75.84,3.03,2018-05-01,2021-10-24,50.88,1,0,6,3,3,3,3,7,0.0,415.96,420.99,275.48,201.94,268.18,538.14,5,2,9,9,476.98,202.99,664.61,776.11,0,1,6,18,0.0,33.99,550.98,1535.72,7.659968219906285,1060.345,0.019638648860958365
2777,-0.3841429941905575,0.31558889837343235,253.05,43.93,5.49,2018-12-18,2021-10-24,130.13,1,1,1,1,1,1,2,1,160.99,70.99,476.99,615.99,146.49,195.98,357.0,0,5,2,1,0.0,1561.45,105.98,357.0,0,5,3,0,0.0,770.46,1253.97,0.0,7.613537302677499,1012.215,0.007677543186180422
2858,-0.22639702088628783,0.3018204416207422,200.41,29.94,2.99,2020-09-24,2021-10-24,39.5,1,0,1,3,2,3,0,1,0.0,350.49,723.58,160.18,279.39,0.0,490.45,0,4,1,5,0.0,299.58,350.49,1354.02,1,3,1,5,334.59,279.39,490.45,899.66,7.603444226513792,1002.045,0.025252525252525252
2872,0.16796791237438632,0.2984697109950876,133.28,16.97,1.13,2017-05-05,2021-10-24,108.87,1,2,2,0,3,5,1,2,169.99,261.0,0.0,986.0,154.19,184.0,243.96,3,3,5,4,518.0,390.0,149.18,941.96,0,6,1,8,0.0,189.19,608.0,1201.95,7.600972457092197,999.57,0.009179926560587515
2890,1.193316738852139,0.29465190882767495,71.2,79.85,2.85,2020-09-21,2021-10-24,14.21,1,1,2,12,5,1,5,2,196.99,68.99,1161.88,134.59,57.99,269.82,103.24,1,6,9,12,57.99,467.36,1038.74,429.41,8,14,4,2,497.22,1191.71,98.59,205.98,7.598148671345461,996.75,0.07017543859649122
3004,0.325713885678656,0.2700392693228662,115.13,91.84,5.4,2020-07-09,2021-10-24,27.76,1,5,3,2,5,0,0,2,343.36,392.47,250.08,662.25,0.0,0.0,308.98,3,3,4,7,394.07,439.07,481.36,642.64,2,5,5,5,262.08,308.66,637.25,749.15,7.579750322066519,978.57,0.035940803382663845
3102,0.325713885678656,0.2524597795555426,113.6,44.92,2.64,2020-08-21,2021-10-24,25.24,1,2,0,5,0,3,3,4,56.19,0.0,327.58,0.0,652.93,353.19,541.28,6,2,5,4,494.97,56.19,849.93,530.08,0,11,3,3,0.0,1204.51,439.08,287.58,7.566399002619845,965.585,0.03953488372093023
3122,-0.30527000753842265,0.24825613567972127,213.88,22.96,2.55,2021-04-10,2021-10-24,21.89,1,0,0,0,3,2,2,2,0.0,0.0,0.0,806.98,239.98,218.0,660.0,0,2,4,3,0.0,218.0,866.97,839.99,2,4,3,0,626.99,878.0,419.97,0.0,7.563179823710421,962.48,0.045454545454545456
3124,0.16796791237438632,0.24818844415193017,128.32,77.86,5.19,2018-06-21,2021-10-24,81.4,1,3,2,0,1,1,4,4,419.97,340.98,0.0,53.99,94.99,511.97,502.96,1,4,6,4,124.99,681.96,640.94,476.97,0,3,4,8,0.0,546.98,461.96,915.92,7.563127900204118,962.43,0.012274959083469721
3128,0.4045868723307908,0.24791090888798714,106.91,49.9,2.77,2021-01-21,2021-10-24,15.33,1,1,4,1,2,2,3,5,58.09,459.77,108.99,260.59,120.19,540.34,376.48,5,6,4,3,435.86,720.87,436.92,330.8,2,4,5,7,170.59,361.23,715.08,677.55,7.562914985636582,962.225,0.06498194945848375
